stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
1814,7,Av. República,,38.73826350,-9.14605400,,,0,,,
1508,17,Pç. Espanha,,38.73820600,-9.15890900,,,0,,,
7209,2,Qta. Lavadeiras,,38.78377750,-9.16406300,,,0,,,
1610,20,Sete Rios,,38.74082520,-9.16812350,,,0,,,
1620,14,Av. Columb. B. Pinheiro (Est. Sete Rios),,38.73946050,-9.16756500,,,0,,,
5802,17,Hipódromo,,38.75786460,-9.16287400,,,0,,,
5832,33,Qta. Lambert - R. Agostinho Neto,,38.76323150,-9.15345400,,,0,,,
2814,9,R. Vasco Botelho Amaral,,38.74275110,-9.20189090,,,0,,,
2804,26,R. Gen. Morais Sarmento,,38.74777750,-9.19781700,,,0,,,
5906,21,Lumiar,,38.77287150,-9.16131700,,,0,,,
5916,9,R. Rainha D. Luísa Gusmão,,38.76745850,-9.15961100,,,0,,,
5926,8,Ameixoeira,,38.78187950,-9.15866300,,,0,,,
13124,23,Estádio Restelo,,38.70418550,-9.20785200,,,0,,,
13121,17,R. Pero Alenquer,,38.70315250,-9.21119400,,,0,,,
8416,35,Cabo Ruivo - Av. Dr. Augusto Castro,,38.75716360,-9.11255800,,,0,,,
13120,25,Restelo (EPUL),,38.70557650,-9.21248580,,,0,,,
13123,12,R. Cons. Martins Carvalho,,38.70657750,-9.20402200,,,0,,,
8406,26,Cabo Ruivo - Av. Mar. Gomes Costa,,38.75903560,-9.11340200,,,0,,,
13122,24,R. Pero Alenquer,,38.70337770,-9.21146790,,,0,,,
8426,18,R. Cons. Emídio Navarro,,38.75686850,-9.11850700,,,0,,,
6812,8,Rato,,38.72024550,-9.15488600,,,0,,,
6802,8,Av. Álvares Cabral,,38.71834050,-9.15694400,,,0,,,
3824,20,Corpo Santo,,38.70723130,-9.14117120,,,0,,,
3804,36,Cais Sodré,,38.70591650,-9.14396300,,,0,,,
1209,7,Mq. Pombal - R. Joaquim A. Aguiar,,38.72537840,-9.15204330,,,0,,,
5706,30,Campo Grande - Av. Brasil,,38.75468750,-9.15190400,,,0,,,
1229,11,Marquês Pombal,,38.72566050,-9.14904100,,,0,,,
8512,11,Amoreiras,,38.72382150,-9.16091400,,,0,,,
8502,26,Amoreiras,,38.72408850,-9.16072000,,,0,,,
6906,19,Hosp. D. Estefânia,,38.72753750,-9.14080000,,,0,,,
9406,24,R. Maria Pia,,38.71283460,-9.17362900,,,0,,,
9416,18,Qta. Jacinto,,38.70818350,-9.17661370,,,0,,,
9426,4,R. Necessidades,,38.70574060,-9.16975600,,,0,,,
